"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","European Union (28 countries)","Proportion of live births outside marriage",":",""
"1960","European Union (28 countries)","Total fertility rate",":",""
"1960","European Union (28 countries)","Mean age of women at childbirth",":",""
"1960","European Union (28 countries)","Mean age of women at birth of first child",":",""
"1960","European Union (28 countries)","Percentage first order live births",":",""
"1960","European Union (27 countries)","Proportion of live births outside marriage",":",""
"1960","European Union (27 countries)","Total fertility rate",":",""
"1960","European Union (27 countries)","Mean age of women at childbirth",":",""
"1960","European Union (27 countries)","Mean age of women at birth of first child",":",""
"1960","European Union (27 countries)","Percentage first order live births",":",""
"1960","Euro area (18 countries)","Proportion of live births outside marriage",":",""
"1960","Euro area (18 countries)","Total fertility rate",":",""
"1960","Euro area (18 countries)","Mean age of women at childbirth",":",""
"1960","Euro area (18 countries)","Mean age of women at birth of first child",":",""
"1960","Euro area (18 countries)","Percentage first order live births",":",""
"1960","Euro area (17 countries)","Proportion of live births outside marriage",":",""
"1960","Euro area (17 countries)","Total fertility rate",":",""
"1960","Euro area (17 countries)","Mean age of women at childbirth",":",""
"1960","Euro area (17 countries)","Mean age of women at birth of first child",":",""
"1960","Euro area (17 countries)","Percentage first order live births",":",""
"1960","Euro area (16 countries)","Proportion of live births outside marriage",":",""
"1960","Euro area (16 countries)","Total fertility rate",":",""
"1960","Euro area (16 countries)","Mean age of women at childbirth",":",""
"1960","Euro area (16 countries)","Mean age of women at birth of first child",":",""
"1960","Euro area (16 countries)","Percentage first order live births",":",""
"1960","Belgium","Proportion of live births outside marriage","2.1",""
"1960","Belgium","Total fertility rate","2.54",""
"1960","Belgium","Mean age of women at childbirth","28.0",""
"1960","Belgium","Mean age of women at birth of first child",":",""
"1960","Belgium","Percentage first order live births","36.3",""
"1960","Bulgaria","Proportion of live births outside marriage","8.0",""
"1960","Bulgaria","Total fertility rate","2.31",""
"1960","Bulgaria","Mean age of women at childbirth","25.1",""
"1960","Bulgaria","Mean age of women at birth of first child",":",""
"1960","Bulgaria","Percentage first order live births","43.6",""
"1960","Czech Republic","Proportion of live births outside marriage","4.9",""
"1960","Czech Republic","Total fertility rate","2.09",""
"1960","Czech Republic","Mean age of women at childbirth","25.7",""
"1960","Czech Republic","Mean age of women at birth of first child",":",""
"1960","Czech Republic","Percentage first order live births","44.6",""
"1960","Denmark","Proportion of live births outside marriage","7.8",""
"1960","Denmark","Total fertility rate","2.57",""
"1960","Denmark","Mean age of women at childbirth","26.9",""
"1960","Denmark","Mean age of women at birth of first child",":",""
"1960","Denmark","Percentage first order live births","33.9",""
"1960","Germany (until 1990 former territory of the FRG)","Proportion of live births outside marriage","6.3",""
"1960","Germany (until 1990 former territory of the FRG)","Total fertility rate",":",""
"1960","Germany (until 1990 former territory of the FRG)","Mean age of women at childbirth",":",""
"1960","Germany (until 1990 former territory of the FRG)","Mean age of women at birth of first child",":",""
"1960","Germany (until 1990 former territory of the FRG)","Percentage first order live births",":",""
"1960","Germany (including former GDR)","Proportion of live births outside marriage","7.6",""
"1960","Germany (including former GDR)","Total fertility rate",":",""
"1960","Germany (including former GDR)","Mean age of women at childbirth",":",""
"1960","Germany (including former GDR)","Mean age of women at birth of first child",":",""
"1960","Germany (including former GDR)","Percentage first order live births",":",""
"1960","Estonia","Proportion of live births outside marriage",":",""
"1960","Estonia","Total fertility rate","1.98",""
"1960","Estonia","Mean age of women at childbirth","27.9",""
"1960","Estonia","Mean age of women at birth of first child",":",""
"1960","Estonia","Percentage first order live births","49.1",""
"1960","Ireland","Proportion of live births outside marriage","1.6",""
"1960","Ireland","Total fertility rate","3.78",""
"1960","Ireland","Mean age of women at childbirth","31.4",""
"1960","Ireland","Mean age of women at birth of first child",":",""
"1960","Ireland","Percentage first order live births","21.1",""
"1960","Greece","Proportion of live births outside marriage","1.2",""
"1960","Greece","Total fertility rate","2.23",""
"1960","Greece","Mean age of women at childbirth","28.8",""
"1960","Greece","Mean age of women at birth of first child",":",""
"1960","Greece","Percentage first order live births","41.0",""
