"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","European Union (28 countries)","Crude marriage rate",":",""
"1960","European Union (28 countries)","Mean age at first marriage - males",":",""
"1960","European Union (28 countries)","Mean age at first marriage - females",":",""
"1960","European Union (27 countries)","Crude marriage rate",":",""
"1960","European Union (27 countries)","Mean age at first marriage - males",":",""
"1960","European Union (27 countries)","Mean age at first marriage - females",":",""
"1960","Euro area (18 countries)","Crude marriage rate",":",""
"1960","Euro area (18 countries)","Mean age at first marriage - males",":",""
"1960","Euro area (18 countries)","Mean age at first marriage - females",":",""
"1960","Euro area (17 countries)","Crude marriage rate",":",""
"1960","Euro area (17 countries)","Mean age at first marriage - males",":",""
"1960","Euro area (17 countries)","Mean age at first marriage - females",":",""
"1960","Euro area (16 countries)","Crude marriage rate",":",""
"1960","Euro area (16 countries)","Mean age at first marriage - males",":",""
"1960","Euro area (16 countries)","Mean age at first marriage - females",":",""
"1960","Belgium","Crude marriage rate","7.1",""
"1960","Belgium","Mean age at first marriage - males",":",""
"1960","Belgium","Mean age at first marriage - females",":",""
"1960","Bulgaria","Crude marriage rate","8.8",""
"1960","Bulgaria","Mean age at first marriage - males",":",""
"1960","Bulgaria","Mean age at first marriage - females",":",""
"1960","Czech Republic","Crude marriage rate","7.7",""
"1960","Czech Republic","Mean age at first marriage - males",":",""
"1960","Czech Republic","Mean age at first marriage - females",":",""
"1960","Denmark","Crude marriage rate","7.8",""
"1960","Denmark","Mean age at first marriage - males",":",""
"1960","Denmark","Mean age at first marriage - females",":",""
"1960","Germany (until 1990 former territory of the FRG)","Crude marriage rate","9.4",""
"1960","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - males",":",""
"1960","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - females",":",""
"1960","Germany (including former GDR)","Crude marriage rate","9.5",""
"1960","Germany (including former GDR)","Mean age at first marriage - males",":",""
"1960","Germany (including former GDR)","Mean age at first marriage - females",":",""
"1960","Estonia","Crude marriage rate","10.0",""
"1960","Estonia","Mean age at first marriage - males",":",""
"1960","Estonia","Mean age at first marriage - females",":",""
"1960","Ireland","Crude marriage rate","5.5",""
"1960","Ireland","Mean age at first marriage - males",":",""
"1960","Ireland","Mean age at first marriage - females",":",""
"1960","Greece","Crude marriage rate","7.0",""
"1960","Greece","Mean age at first marriage - males",":",""
"1960","Greece","Mean age at first marriage - females",":",""
"1960","Spain","Crude marriage rate","7.8",""
"1960","Spain","Mean age at first marriage - males",":",""
"1960","Spain","Mean age at first marriage - females",":",""
"1960","France","Crude marriage rate",":",""
"1960","France","Mean age at first marriage - males",":",""
"1960","France","Mean age at first marriage - females",":",""
"1960","France (metropolitan)","Crude marriage rate","7.0",""
"1960","France (metropolitan)","Mean age at first marriage - males",":",""
"1960","France (metropolitan)","Mean age at first marriage - females",":",""
"1960","Croatia","Crude marriage rate","8.9",""
"1960","Croatia","Mean age at first marriage - males",":",""
"1960","Croatia","Mean age at first marriage - females",":",""
