"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","European Union (28 countries)","Crude divorce rate",":",""
"1961","European Union (28 countries)","Crude divorce rate",":",""
"1962","European Union (28 countries)","Crude divorce rate",":",""
"1963","European Union (28 countries)","Crude divorce rate",":",""
"1964","European Union (28 countries)","Crude divorce rate",":",""
"1965","European Union (28 countries)","Crude divorce rate","0.8",""
"1966","European Union (28 countries)","Crude divorce rate","0.8",""
"1967","European Union (28 countries)","Crude divorce rate",":",""
"1968","European Union (28 countries)","Crude divorce rate","0.8",""
"1969","European Union (28 countries)","Crude divorce rate","0.8",""
"1970","European Union (28 countries)","Crude divorce rate","0.9",""
"1971","European Union (28 countries)","Crude divorce rate","1.0",""
"1972","European Union (28 countries)","Crude divorce rate","1.2",""
"1973","European Union (28 countries)","Crude divorce rate","1.2",""
"1974","European Union (28 countries)","Crude divorce rate","1.3",""
"1975","European Union (28 countries)","Crude divorce rate","1.4",""
"1976","European Union (28 countries)","Crude divorce rate","1.4",""
"1977","European Union (28 countries)","Crude divorce rate","1.3",""
"1978","European Union (28 countries)","Crude divorce rate","1.3",""
"1979","European Union (28 countries)","Crude divorce rate","1.4",""
"1980","European Union (28 countries)","Crude divorce rate","1.5",""
"1981","European Union (28 countries)","Crude divorce rate","1.5",""
"1982","European Union (28 countries)","Crude divorce rate","1.6",""
"1983","European Union (28 countries)","Crude divorce rate","1.7",""
"1984","European Union (28 countries)","Crude divorce rate","1.7",""
"1985","European Union (28 countries)","Crude divorce rate","1.7",""
"1986","European Union (28 countries)","Crude divorce rate","1.7",""
"1987","European Union (28 countries)","Crude divorce rate","1.7",""
"1988","European Union (28 countries)","Crude divorce rate","1.7",""
"1989","European Union (28 countries)","Crude divorce rate","1.7",""
"1990","European Union (28 countries)","Crude divorce rate","1.6",""
"1991","European Union (28 countries)","Crude divorce rate","1.6",""
"1992","European Union (28 countries)","Crude divorce rate","1.6",""
"1993","European Union (28 countries)","Crude divorce rate","1.6",""
"1994","European Union (28 countries)","Crude divorce rate","1.7",""
"1995","European Union (28 countries)","Crude divorce rate","1.8",""
"1996","European Union (28 countries)","Crude divorce rate","1.8",""
"1997","European Union (28 countries)","Crude divorce rate","1.8",""
"1998","European Union (28 countries)","Crude divorce rate","1.8","b"
"1999","European Union (28 countries)","Crude divorce rate","1.8",""
"2000","European Union (28 countries)","Crude divorce rate","1.8",""
"2001","European Union (28 countries)","Crude divorce rate","1.8",""
"2002","European Union (28 countries)","Crude divorce rate","1.9",""
"2003","European Union (28 countries)","Crude divorce rate","2.0",""
"2004","European Union (28 countries)","Crude divorce rate","2.0",""
"2005","European Union (28 countries)","Crude divorce rate","2.1",""
"2006","European Union (28 countries)","Crude divorce rate","2.1",""
"2007","European Union (28 countries)","Crude divorce rate","2.1",""
"2008","European Union (28 countries)","Crude divorce rate","2.0",""
"2009","European Union (28 countries)","Crude divorce rate","1.9",""
"2010","European Union (28 countries)","Crude divorce rate","2.0",""
"2011","European Union (28 countries)","Crude divorce rate",":",""
"2012","European Union (28 countries)","Crude divorce rate",":",""
"1960","European Union (27 countries)","Crude divorce rate",":",""
"1961","European Union (27 countries)","Crude divorce rate",":",""
"1962","European Union (27 countries)","Crude divorce rate",":",""
"1963","European Union (27 countries)","Crude divorce rate",":",""
"1964","European Union (27 countries)","Crude divorce rate",":",""
"1965","European Union (27 countries)","Crude divorce rate","0.8",""
"1966","European Union (27 countries)","Crude divorce rate","0.8",""
"1967","European Union (27 countries)","Crude divorce rate",":",""
"1968","European Union (27 countries)","Crude divorce rate","0.8",""
"1969","European Union (27 countries)","Crude divorce rate","0.8",""
"1970","European Union (27 countries)","Crude divorce rate","0.9",""
"1971","European Union (27 countries)","Crude divorce rate","1.0",""
"1972","European Union (27 countries)","Crude divorce rate","1.2",""
"1973","European Union (27 countries)","Crude divorce rate","1.2",""
"1974","European Union (27 countries)","Crude divorce rate","1.3",""
"1975","European Union (27 countries)","Crude divorce rate","1.4",""
"1976","European Union (27 countries)","Crude divorce rate","1.4",""
"1977","European Union (27 countries)","Crude divorce rate","1.3",""
"1978","European Union (27 countries)","Crude divorce rate","1.3",""
"1979","European Union (27 countries)","Crude divorce rate","1.4",""
"1980","European Union (27 countries)","Crude divorce rate","1.5",""
"1981","European Union (27 countries)","Crude divorce rate","1.5",""
"1982","European Union (27 countries)","Crude divorce rate","1.6",""
"1983","European Union (27 countries)","Crude divorce rate","1.7",""
"1984","European Union (27 countries)","Crude divorce rate","1.7",""
"1985","European Union (27 countries)","Crude divorce rate","1.7",""
"1986","European Union (27 countries)","Crude divorce rate","1.7",""
"1987","European Union (27 countries)","Crude divorce rate","1.7",""
"1988","European Union (27 countries)","Crude divorce rate","1.7",""
"1989","European Union (27 countries)","Crude divorce rate","1.7",""
"1990","European Union (27 countries)","Crude divorce rate","1.6",""
"1991","European Union (27 countries)","Crude divorce rate","1.6",""
"1992","European Union (27 countries)","Crude divorce rate","1.6",""
"1993","European Union (27 countries)","Crude divorce rate","1.6",""
"1994","European Union (27 countries)","Crude divorce rate","1.7",""
"1995","European Union (27 countries)","Crude divorce rate","1.8",""
"1996","European Union (27 countries)","Crude divorce rate","1.8",""
